2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'PortScan'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DDoS'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS GoldenEye'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'FTP-Patator'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'SSH-Patator'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS slowloris'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Slowhttptest'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Bot'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Brute Force'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - XSS'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Infiltration'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Sql Injection'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Heartbleed'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     | Saved synthetic dataset: /tmp/pytest-of-codespace/pytest-8/test_generate_sample0/sample_cicids2017.csv (3100 rows)
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     | Generating synthetic dataset with 5000 samples
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 3000 samples for 'BENIGN'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 500 samples for 'DoS Hulk'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 400 samples for 'PortScan'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 350 samples for 'DDoS'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS GoldenEye'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'FTP-Patator'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'SSH-Patator'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS slowloris'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Slowhttptest'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Bot'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Brute Force'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - XSS'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Infiltration'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Sql Injection'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Heartbleed'
